event_id,transaction_id,file_name,status,event_time
e1,t1,events_2025-10-22.csv,NOK,2025-10-22 06:39:00
e2,t2,events_2025-10-22.csv,OK,2025-10-22 19:58:00
e3,t3,events_2025-10-22.csv,OK,2025-10-22 11:28:00
e4,t4,events_2025-10-22.csv,OK,2025-10-22 10:17:00
e5,t5,events_2025-10-22.csv,OK,2025-10-22 14:37:00
e6,t6,events_2025-10-22.csv,OK,2025-10-22 16:19:00
e7,t7,events_2025-10-22.csv,NOK,2025-10-22 20:07:00
e8,t8,events_2025-10-22.csv,OK,2025-10-22 17:04:00
e9,t9,events_2025-10-22.csv,OK,2025-10-22 02:01:00
e10,t10,events_2025-10-22.csv,OK,2025-10-22 11:58:00
