event_id,transaction_id,file_name,status,event_time
e1,t1,events_2025-10-21.csv,NOK,2025-10-21 01:33:00
e2,t2,events_2025-10-21.csv,OK,2025-10-21 17:15:00
e3,t3,events_2025-10-21.csv,OK,2025-10-21 07:10:00
e4,t4,events_2025-10-21.csv,NOK,2025-10-21 18:23:00
e5,t5,events_2025-10-21.csv,OK,2025-10-21 20:18:00
e6,t6,events_2025-10-21.csv,OK,2025-10-21 07:05:00
e7,t7,events_2025-10-21.csv,OK,2025-10-21 17:02:00
e8,t8,events_2025-10-21.csv,OK,2025-10-21 05:12:00
e9,t9,events_2025-10-21.csv,OK,2025-10-21 21:47:00
e10,t10,events_2025-10-21.csv,NOK,2025-10-21 00:57:00
